CustomerId,AreaName,IndustryName,ProductName
1662,AUCKLAND SOUTH,STEEL FABRICATORS,PLATE MEDIUM TENSILE GR350
1662,AUCKLAND SOUTH,STEEL FABRICATORS,PLATE MEDIUM TENSILE GR350
1662,AUCKLAND SOUTH,STEEL FABRICATORS,PLATE MEDIUM TENSILE GR350
1662,AUCKLAND SOUTH,STEEL FABRICATORS,PLATE MEDIUM TENSILE GR350
1662,AUCKLAND SOUTH,STEEL FABRICATORS,PLATE MEDIUM TENSILE GR350
1662,AUCKLAND SOUTH,STEEL FABRICATORS,PLATE MEDIUM TENSILE GR350
1662,AUCKLAND SOUTH,STEEL FABRICATORS,PLATE MEDIUM TENSILE GR350
1662,AUCKLAND SOUTH,STEEL FABRICATORS,PLATE MEDIUM TENSILE GR350
1662,AUCKLAND SOUTH,STEEL FABRICATORS,PLATE MEDIUM TENSILE GR350
1662,AUCKLAND SOUTH,STEEL FABRICATORS,PLATE MEDIUM TENSILE GR350
1059,NORTHLAND,STEEL FABRICATORS,PLATE MEDIUM TENSILE GR350
1059,NORTHLAND,STEEL FABRICATORS,PLATE MEDIUM TENSILE GR350
1059,NORTHLAND,STEEL FABRICATORS,PLATE MEDIUM TENSILE GR350
1059,NORTHLAND,STEEL FABRICATORS,PLATE MEDIUM TENSILE GR350
1059,NORTHLAND,STEEL FABRICATORS,PLATE MEDIUM TENSILE GR350
6372,MATAMATA-TIRAU,MANUFACTURERS,PLATE MEDIUM TENSILE GR350
6372,MATAMATA-TIRAU,MANUFACTURERS,PLATE MEDIUM TENSILE GR350
6372,MATAMATA-TIRAU,MANUFACTURERS,PLATE MEDIUM TENSILE GR350
6372,MATAMATA-TIRAU,MANUFACTURERS,PLATE MEDIUM TENSILE GR350
1191,TAURANGA,MANUFACTURERS,PLATE MEDIUM TENSILE GR350
6372,MATAMATA-TIRAU,MANUFACTURERS,PLATE MEDIUM TENSILE GR350
6372,MATAMATA-TIRAU,MANUFACTURERS,PLATE MEDIUM TENSILE GR350
56,ROTORUA,GENERAL ENGINEERING,PLATE MEDIUM TENSILE GR350
1191,TAURANGA,MANUFACTURERS,PLATE MEDIUM TENSILE GR350
1191,TAURANGA,MANUFACTURERS,PLATE MEDIUM TENSILE GR350
1191,TAURANGA,MANUFACTURERS,PLATE MEDIUM TENSILE GR350
1191,TAURANGA,MANUFACTURERS,PLATE MEDIUM TENSILE GR350
1191,TAURANGA,MANUFACTURERS,PLATE MEDIUM TENSILE GR350
1191,TAURANGA,MANUFACTURERS,PLATE MEDIUM TENSILE GR350
1662,AUCKLAND SOUTH,STEEL FABRICATORS,PLATE MEDIUM TENSILE GR350
1662,AUCKLAND SOUTH,STEEL FABRICATORS,PLATE MEDIUM TENSILE GR350
1662,AUCKLAND SOUTH,STEEL FABRICATORS,PLATE MEDIUM TENSILE GR350
1191,TAURANGA,MANUFACTURERS,PLATE MEDIUM TENSILE GR350
993,AUCKLAND WEST,UNDEFINED,COLORSTEEL ENDURA CLOUD ENDURA G300
573,PALMERSTON NORTH,MANUFACTURERS,BLK PIPE LGT P/E(33.7OD) AS1074 C250
2864,TARANAKI,RESELLER/COMPETITOR,BLK PIPE LGT P/E(33.7OD) AS1074 C250
4617,AUCKLAND SOUTH,PROJECT ENGINEERS,BLK PIPE LGT P/E(33.7OD) AS1074 C250
3983,NORTH OTAGO,MANUFACTURERS,BLK PIPE LGT P/E(33.7OD) AS1074 C250
690,CHCH EAST,UNDEFINED,BLK PIPE LGT P/E(33.7OD) AS1074 C250
5104,CENTRAL OTAGO,GENERAL ENGINEERING,BLK PIPE LGT P/E(33.7OD) AS1074 C250
740,PALMERSTON NORTH,GENERAL ENGINEERING,BLK PIPE LGT P/E(33.7OD) AS1074 C250
1913,AUCKLAND EAST,STEEL FABRICATORS,BLK PIPE LGT P/E(33.7OD) AS1074 C250
3451,MID CANTERBURY,MANUFACTURERS,BLK PIPE LGT P/E(33.7OD) AS1074 C250
1981,CHCH NORTH,GENERAL ENGINEERING,COLORSTEEL ENDURA CLOUD ENDURA G300
779,CH COIL PROCESSING,ROLLFORMERS,COLORSTEEL ENDURA CLOUD ENDURA G300
4096,CH COIL PROCESSING,MANUFACTURERS,COLORSTEEL ENDURA CLOUD ENDURA G300
4096,CH COIL PROCESSING,MANUFACTURERS,COLORSTEEL ENDURA CLOUD ENDURA G300
4096,CH COIL PROCESSING,MANUFACTURERS,COLORSTEEL ENDURA CLOUD ENDURA G300
4096,CH COIL PROCESSING,MANUFACTURERS,COLORSTEEL ENDURA CLOUD ENDURA G300
4096,CH COIL PROCESSING,MANUFACTURERS,COLORSTEEL ENDURA CLOUD ENDURA G300
4096,CH COIL PROCESSING,MANUFACTURERS,COLORSTEEL ENDURA CLOUD ENDURA G300
4096,CH COIL PROCESSING,MANUFACTURERS,COLORSTEEL ENDURA CLOUD ENDURA G300
4096,CH COIL PROCESSING,MANUFACTURERS,COLORSTEEL ENDURA CLOUD ENDURA G300
1249,NORTH CANTERBURY,GENERAL ENGINEERING,BLK PIPE LGT P/E(33.7OD) AS1074 C250
2215,AUCKLAND SOUTH,UNDEFINED,BLK PIPE LGT P/E(33.7OD) AS1074 C250
2215,AUCKLAND SOUTH,UNDEFINED,BLK PIPE LGT P/E(33.7OD) AS1074 C250
3394,WAIKATO,GENERAL ENGINEERING,BLK PIPE LGT P/E(33.7OD) AS1074 C250
202,AUCKLAND EAST,GENERAL ENGINEERING,BLK PIPE LGT P/E(33.7OD) AS1074 C250
4287,AUCKLAND EAST,MANUFACTURERS,BLK PIPE LGT P/E(33.7OD) AS1074 C250
436,AUCKLAND SOUTH,MANUFACTURERS,BLK PIPE LGT P/E(33.7OD) AS1074 C250
3187,PALMERSTON NORTH,PROJECT ENGINEERS,BLK PIPE LGT P/E(33.7OD) AS1074 C250
3187,PALMERSTON NORTH,PROJECT ENGINEERS,BLK PIPE LGT P/E(33.7OD) AS1074 C250
3187,PALMERSTON NORTH,PROJECT ENGINEERS,BLK PIPE LGT P/E(33.7OD) AS1074 C250
